	masa A			
t	x	y	θ	
0,000	4,634	-42,54	-83,8
0,033	3,937	-42,66	-84,7
0,067	3,049	-42,75	-85,9
0,100	2,105	-42,81	-87,2
0,133	1,036	-42,84	-88,6
0,167	-3,960E-2	-42,90	-90,1
0,200	-1,143	-42,86	-91,5
0,233	-2,210	-42,84	-93,0
0,267	-3,213	-42,83	-94,3
0,300	-4,183	-42,75	-95,6
0,333	-5,023	-42,64	-96,7
0,367	-5,235	-42,89	-97,0
0,400	-5,749	-42,83	-97,6
0,433	-6,117	-42,79	-98,1
0,467	-6,266	-42,77	-98,3
0,500	-6,301	-42,76	-98,4
0,533	-6,093	-42,80	-98,1
0,567	-5,719	-42,87	-97,6
0,600	-5,182	-42,91	-96,9
0,633	-4,513	-42,96	-96,0
0,667	-3,677	-43,00	-94,9
0,700	-3,176	-42,78	-94,2
0,733	-2,145	-42,81	-92,9
0,767	-1,097	-42,78	-91,5
0,800	1,148E-2	-42,78	-90,0
0,833	1,106	-42,76	-88,5
0,867	2,107	-42,69	-87,2
0,900	3,054	-42,63	-85,9
0,933	3,892	-42,53	-84,8
0,967	4,629	-42,44	-83,8
1,000	5,234	-42,37	-83,0
1,033	5,665	-42,31	-82,4
1,067	5,926	-42,25	-82,0
1,100	6,015	-42,26	-81,9
1,133	5,943	-42,26	-82,0
1,167	5,763	-42,30	-82,2
1,200	5,468	-42,41	-82,7
1,233	4,700	-42,41	-83,7
1,267	4,028	-42,47	-84,6
1,300	3,188	-42,59	-85,7
1,333	2,309	-42,73	-86,9
1,367	1,221	-42,72	-88,4
1,400	0,431	-42,98	-89,4
1,433	-0,605	-43,03	-90,8
1,467	-1,597	-43,06	-92,1
1,500	-2,591	-43,04	-93,4
1,533	-3,495	-42,99	-94,6
1,567	-4,340	-42,97	-95,8
1,600	-5,017	-42,91	-96,7
1,633	-5,587	-42,86	-97,4
1,667	-5,946	-42,82	-97,9
1,700	-6,180	-42,78	-98,2
1,733	-6,196	-42,79	-98,2
1,767	-6,042	-42,82	-98,0
1,800	-5,693	-42,85	-97,6
1,833	-5,199	-42,90	-96,9
1,867	-4,524	-42,95	-96,0
1,900	-3,752	-43,00	-95,0
1,933	-2,837	-43,05	-93,8
1,967	-1,844	-43,09	-92,5
2,000	-1,207	-42,80	-91,6
2,033	-0,164	-42,79	-90,2
2,067	1,330	-43,03	-88,2
2,100	2,394	-42,96	-86,8
2,133	3,283	-42,91	-85,6
2,167	4,186	-42,82	-84,4
2,200	4,855	-42,70	-83,5
2,233	5,549	-42,62	-82,6
2,267	6,011	-42,55	-82,0
2,300	5,905	-42,34	-82,1
2,333	6,042	-42,37	-81,9
2,367	6,012	-42,36	-81,9
2,400	6,133	-42,54	-81,8
2,433	5,443	-42,48	-82,7
2,467	4,924	-42,56	-83,4
2,500	4,224	-42,66	-84,3
2,533	3,379	-42,72	-85,5
2,567	2,599	-42,84	-86,5
2,600	1,417	-42,73	-88,1
2,633	0,310	-42,74	-89,6
2,667	-0,548	-42,91	-90,7
2,700	-1,430	-43,03	-91,9
2,733	-2,389	-43,03	-93,2
2,767	-3,344	-43,00	-94,4
2,800	-4,164	-42,93	-95,5
2,833	-4,881	-42,86	-96,5
2,867	-5,445	-42,80	-97,3
2,900	-5,839	-42,77	-97,8
2,933	-6,074	-42,77	-98,1
2,967	-6,131	-42,74	-98,2
3,000	-5,988	-42,75	-98,0
3,033	-5,670	-42,79	-97,5
3,067	-5,209	-42,85	-96,9
3,100	-4,569	-42,89	-96,1
3,133	-3,807	-42,95	-95,1
3,167	-2,908	-43,00	-93,9
3,200	-1,958	-43,03	-92,6
3,233	-0,941	-43,04	-91,3
3,267	8,365E-2	-43,00	-89,9
3,300	1,166	-43,00	-88,4
3,333	2,203	-42,94	-87,1
3,367	3,121	-42,86	-85,8
3,400	3,985	-42,79	-84,7
3,433	4,740	-42,66	-83,7
3,467	5,378	-42,60	-82,8
3,500	5,869	-42,53	-82,1
3,533	6,172	-42,48	-81,7
3,567	6,319	-42,46	-81,5
3,600	6,282	-42,47	-81,6
3,633	6,083	-42,50	-81,9
3,667	5,750	-42,56	-82,3
3,700	5,202	-42,66	-83,0
3,733	4,574	-42,73	-83,9
3,767	3,809	-42,81	-84,9
3,800	2,889	-42,89	-86,1
3,833	1,952	-42,95	-87,4
3,867	0,943	-43,02	-88,7
3,900	-0,145	-43,08	-90,2
3,933	-1,167	-43,06	-91,6
3,967	-2,209	-43,06	-92,9
4,000	-3,167	-43,01	-94,2
4,033	-4,017	-42,98	-95,3
4,067	-4,723	-42,94	-96,3
4,100	-5,324	-42,87	-97,1
4,133	-5,734	-42,82	-97,6
4,167	-5,979	-42,81	-97,9
4,200	-6,065	-42,82	-98,1
4,233	-5,952	-42,82	-97,9
4,267	-5,669	-42,82	-97,5
4,300	-5,227	-42,89	-96,9
4,333	-4,633	-42,94	-96,2
4,367	-3,886	-43,01	-95,2
4,400	-3,032	-43,03	-94,0
4,433	-2,098	-43,07	-92,8
4,467	-1,055	-43,09	-91,4
4,500	-8,994E-2	-43,10	-90,1
4,533	0,969	-43,06	-88,7
4,567	1,971	-42,99	-87,4
4,600	2,920	-42,93	-86,1
4,633	3,811	-42,85	-84,9
4,667	4,541	-42,73	-83,9
4,700	4,881	-42,48	-83,4
4,733	5,321	-42,41	-82,8
4,767	5,635	-42,35	-82,4
4,800	5,813	-42,34	-82,2
4,833	5,798	-42,35	-82,2
4,867	5,623	-42,36	-82,4
4,900	5,312	-42,41	-82,9
4,933	4,809	-42,48	-83,5
4,967	4,265	-42,60	-84,3
5,000	3,405	-42,56	-85,4
5,033	2,534	-42,64	-86,6
5,067	1,611	-42,69	-87,8
5,100	0,616	-42,76	-89,2
5,133	-0,443	-42,75	-90,6
5,167	-1,463	-42,74	-92,0
5,200	-2,095	-43,04	-92,8
5,233	-3,242	-42,80	-94,3
5,267	-4,107	-42,72	-95,5
5,300	-4,878	-42,66	-96,5
5,333	-5,486	-42,61	-97,3
5,367	-5,966	-42,54	-98,0
5,400	-6,222	-42,52	-98,3
5,433	-6,309	-42,50	-98,4
5,467	-6,222	-42,49	-98,3
5,500	-6,011	-42,51	-98,0
5,533	-5,601	-42,56	-97,5
5,567	-5,042	-42,67	-96,7
5,600	-4,337	-42,75	-95,8
