	masa A			
t	x	y	θ	
5,000	23,25	-38,20	-58,7
5,033	22,53	-38,65	-59,8
5,067	21,21	-39,40	-61,7
5,100	19,20	-40,35	-64,5
5,133	16,36	-41,26	-68,4
5,167	13,59	-42,45	-72,2
5,200	10,12	-43,38	-76,9
5,233	6,321	-44,05	-81,8
5,267	2,340	-44,42	-87,0
5,300	-1,611	-44,44	-92,1
5,333	-5,528	-44,07	-97,1
5,367	-9,127	-43,35	-101,9
5,400	-12,38	-42,42	-106,3
5,433	-15,22	-41,36	-110,2
5,467	-17,56	-40,28	-113,6
5,500	-19,29	-39,32	-116,1
5,533	-20,49	-38,57	-118,0
5,567	-21,25	-38,04	-119,2
5,600	-21,45	-37,86	-119,5
5,633	-21,22	-37,95	-119,2
