	masa A			
t	x	y	θ	
0,000	20,71	-27,14	-52,6
0,033	18,17	-28,71	-57,7
0,067	15,01	-30,40	-63,7
0,100	11,10	-31,84	-70,8
0,133	6,883	-32,99	-78,2
0,167	2,301	-33,60	-86,1
0,200	-2,504	-33,43	-94,3
0,233	-6,953	-32,91	-101,9
0,267	-11,11	-31,82	-109,3
0,300	-14,74	-30,36	-115,9
0,333	-18,50	-28,38	-123,1
0,367	-22,06	-26,53	-129,7
0,400	-24,12	-25,58	-133,3
0,433	-25,39	-24,45	-136,1
0,467	-25,95	-23,86	-137,4
0,500	-25,91	-23,93	-137,3
0,533	-25,21	-24,66	-135,6
0,567	-23,91	-25,83	-132,8
0,600	-21,95	-27,37	-128,7
0,633	-19,28	-29,13	-123,5
0,667	-15,85	-30,90	-117,2
0,700	-11,88	-32,50	-110,1
0,733	-7,403	-33,69	-102,4
0,767	-2,467	-34,28	-94,1
0,800	2,429	-34,27	-85,9
0,833	7,182	-33,64	-77,9
0,867	11,40	-32,50	-70,7
0,900	15,46	-30,90	-63,4
0,933	18,94	-29,19	-57,0
0,967	21,48	-27,49	-52,0
1,000	22,78	-26,26	-49,1
1,033	23,90	-25,29	-46,6
1,067	24,47	-24,79	-45,4
1,100	24,39	-24,82	-45,5
1,133	23,84	-25,35	-46,8
1,167	22,80	-26,30	-49,1
1,200	21,04	-27,67	-52,7
1,233	18,25	-29,38	-58,1
1,267	15,12	-31,00	-64,0
1,300	11,20	-32,52	-71,0
1,333	7,025	-33,64	-78,2
1,367	2,304	-34,24	-86,1
1,400	-2,574	-34,24	-94,3
1,433	-7,393	-33,64	-102,4
1,467	-11,81	-32,47	-110,0
1,500	-15,70	-30,92	-116,9
1,533	-19,30	-29,20	-123,5
1,567	-21,88	-27,41	-128,6
1,600	-23,87	-25,89	-132,7
1,633	-25,19	-24,81	-135,4
1,667	-25,50	-24,35	-136,3
1,700	-23,91	-24,34	-134,5
1,733	-24,51	-25,18	-134,2
1,767	-23,43	-26,19	-131,8
1,800	-20,99	-27,34	-127,5
1,833	-18,35	-28,99	-122,3
1,867	-15,48	-30,54	-116,9
1,900	-11,63	-32,05	-109,9
1,933	-7,554	-33,20	-102,8
1,967	-2,430	-33,86	-94,1
2,000	2,264	-33,91	-86,2
2,033	6,914	-33,33	-78,3
2,067	11,33	-32,21	-70,6
2,100	14,70	-30,82	-64,5
2,133	17,89	-29,20	-58,5
2,167	20,31	-27,62	-53,7
2,200	22,07	-26,27	-50,0
2,233	23,16	-25,31	-47,5
2,267	24,17	-24,68	-45,6
2,300	24,16	-24,68	-45,6
2,333	23,17	-25,30	-47,5
2,367	22,04	-26,27	-50,0
2,400	20,27	-27,61	-53,7
2,433	17,86	-29,15	-58,5
2,467	14,89	-30,72	-64,1
2,500	11,34	-32,14	-70,6
2,533	7,273	-33,24	-77,7
2,567	2,804	-33,86	-85,3
2,600	-2,077	-33,89	-93,5
2,633	-6,864	-33,32	-101,6
2,667	-11,24	-32,20	-109,2
2,700	-15,16	-30,74	-116,3
2,733	-18,59	-29,03	-122,6
2,767	-20,58	-27,59	-126,7
2,800	-22,27	-26,16	-130,4
2,833	-23,66	-25,14	-133,3
2,867	-25,22	-24,34	-136,0
2,900	-25,30	-24,40	-136,0
2,933	-24,64	-24,94	-134,6
2,967	-23,08	-26,06	-131,5
3,000	-21,52	-27,29	-128,3
3,033	-18,89	-28,95	-123,1
3,067	-15,46	-30,67	-116,8
3,100	-11,74	-32,13	-110,1
3,133	-7,218	-33,32	-102,2
3,167	-2,616	-33,96	-94,4
3,200	2,197	-34,02	-86,3
3,233	6,661	-33,47	-78,7
3,267	11,01	-32,41	-71,2
3,300	14,28	-31,07	-65,3
3,333	17,34	-29,51	-59,6
3,367	20,09	-27,95	-54,3
3,400	21,90	-26,60	-50,5
3,433	22,97	-25,66	-48,2
3,467	23,80	-25,02	-46,4
3,500	23,80	-25,00	-46,4
3,533	23,02	-25,58	-48,0
3,567	21,76	-26,54	-50,7
3,600	20,01	-27,84	-54,3
3,633	17,70	-29,32	-58,9
